time,utterance
20230203-142019,wait a minute
20230203-142049,yes pick up the bottle please
20230203-142158,go to the bedroom
20230203-142252,hand me the bottle
20230203-143642,go to the kitchen
20230203-143645,no
20230203-143647,no
20230203-143650,no
20230203-143651,no
20230203-143726,open your gripper
20230203-145345,go to the kitchen
20230203-145459,open your gripper
20230203-145932,go to the kitchen
20230203-145951,start learning
20230203-150002,go to the kitchen
20230203-150012,stop learning
20230203-150134,start learning
20230203-150154,pick up the bottle
20230203-150245,go to the bedroom
20230203-150344,hand me the bottle
20230203-150407,stop learning
20230203-150537,go to the kitchen
20230203-150644,open your gripper
20230203-151330,go to kitchen
20230203-151530,open your gripper
20230203-151802,open your gripper
20230203-151827,go to the kitchen
20230203-152236,go to the kitchen
