time,utterance
20230213-103426,pick up the bottle
20230213-103515,go to the bedroom
20230213-103612,go to the kitchen
20230213-103654,open your gripper
20230213-112156,start learning
20230213-112240,can you please pick up the bottle for me
20230213-112344,can you please bring the bottle to the bedroom
20230213-112443,can you please hand me the bottle
20230213-112508,stop learning
20230213-112844,go to the kitchen
20230213-112933,open your gripper
20230213-113501,pick up the bottle
20230213-113559,go to the bedroom
20230213-113705,hand me the bottle
20230213-113903,go to the kitchen
20230213-113950,open your gripper
20230213-134302,who is the president of the united states
20230213-142116,who is the president of the united states
20230213-142133,start learning
20230213-142222,please bring me the orange juice to the bed
20230213-142331,go to the bedroom
20230213-142449,hand me the bottle
20230213-142514,stop learning
20230213-142520,go to the kitchen
20230213-142729,open your gripper
20230213-143708,go to the kitchen
20230213-143754,open your gripper
20230213-161454,start learning
20230213-161601,bring the juice to my bedroom please
20230213-161646,bring the orange juice to the bedroom
20230213-161657,bring the orange juice to the bedroom
20230213-161707,go back to the kitchen
20230213-161805,bring the bottle of orange juice to the bedroom
20230213-161841,get the bottle
20230213-162009,go to the bedroom
20230213-162112,give me the bottle of orange juice
20230213-162121,stop learning
20230213-162201,go to the kitchen
20230213-162407,go to the kitchen
20230213-162509,open your gripper
20230213-162941,pick up the bottle
20230213-163044,go to the bedroom
20230213-163138,hand me the bottle
20230213-163301,go to the kitchen
20230213-163344,open your gripper
